Periodo,Entidad federativa,"Tasa de mortalidad por tuberculosis (todas las formas), defunciones por cada 100 mil habitantes",Defunciones por cualquier tipo de tuberculosis,Población total
1993,Sonora,6.893591627,137,1987353
1993,Tabasco,6.010898618,105,1746827
1993,Tamaulipas,7.788074417,187,2401107
1993,Tlaxcala,3.655187854,32,875468
1993,Veracruz de Ignacio de la Llave,10.20180212,701,6871335
1993,Yucatán,5.551016783,85,1531251
1993,Zacatecas,2.389771777,34,1422730
1994,Nacional,5.015297355,4667,93055300
1994,Aguascalientes,2.660376355,24,902128
1994,Baja California,7.482273328,154,2058198
1994,Baja California Sur,3.608303221,14,387994
1994,Campeche,4.392429404,27,614694
1994,Coahuila de Zaragoza,6.856921529,148,2158403
1994,Colima,5.694559536,29,509258
1994,Chiapas,11.49579498,419,3644811
1994,Chihuahua,7.508711812,198,2636937
1994,Distrito Federal,2.186132782,193,8828375
1994,Durango,4.028768183,58,1439646
1994,Guanajuato,2.699895563,132,4889078
1994,Guerrero,5.312054395,166,3124968
1994,Hidalgo,4.675408661,107,2288570
1994,Jalisco,3.481205007,213,6118571
1994,México,2.14155369,242,11300207
1994,Michoacán de Ocampo,3.072769773,126,4100535
1994,Morelos,3.950412282,59,1493515
1994,Nayarit,6.046402782,54,893093
1994,Nuevo León,5.340931851,188,3519985
1994,Oaxaca,8.195595453,287,3501881
1994,Puebla,6.437724568,310,4815366
1994,Querétaro,4.445315694,61,1372231
1994,Quintana Roo,2.09559255,15,715788
1994,San Luis Potosí,6.705334093,154,2296679
1994,Sinaloa,5.733523658,135,2354573
1994,Sonora,5.122219103,104,2030370
1994,Tabasco,6.623226533,118,1781609
1994,Tamaulipas,6.034301744,148,2452645
1994,Tlaxcala,3.128397244,28,895027
1994,Veracruz de Ignacio de la Llave,9.27272332,644,6945101
1994,Yucatán,4.552820087,71,1559473
1994,Zacatecas,2.876000199,41,1425591
1995,Nacional,4.912671704,4642,94490336
1995,Aguascalientes,2.062867516,19,921048
1995,Baja California,7.659145604,164,2141231
1995,Baja California Sur,3.743757285,15,400667
1995,Campeche,3.333878396,21,629897
1995,Coahuila de Zaragoza,7.371195189,162,2197744
1995,Colima,4.059076966,21,517359
1995,Chiapas,9.807024026,366,3732019
1995,Chihuahua,7.234792003,195,2695309
1995,Distrito Federal,1.773392716,157,8853087
1995,Durango,4.477876192,65,1451581
1995,Guanajuato,2.590208566,128,4941687
1995,Guerrero,5.017886542,158,3148736
1995,Hidalgo,5.935594896,137,2308109
1995,Jalisco,3.114295115,193,6197229
1995,México,2.527631629,293,11591879
1995,Michoacán de Ocampo,2.498133676,103,4123078
1995,Morelos,2.971071666,45,1514605
1995,Nayarit,7.757848726,70,902312
1995,Nuevo León,6.124881887,220,3591906
1995,Oaxaca,9.079903148,321,3535280
1995,Puebla,4.698586686,230,4895089
1995,Querétaro,5.200800781,73,1403630
1995,Quintana Roo,3.059356843,23,751792
1995,San Luis Potosí,7.378564364,171,2317524
1995,Sinaloa,5.904737735,141,2387913
1995,Sonora,5.59375544,116,2073741
1995,Tabasco,6.662914877,121,1816022
1995,Tamaulipas,7.023491984,176,2505876
1995,Tlaxcala,3.279903702,30,914661
1995,Veracruz de Ignacio de la Llave,8.668476401,608,7013920
1995,Yucatán,3.716645469,59,1587453
1995,Zacatecas,2.871244972,41,1427952
1996,Nacional,4.682056939,4489,95876664
1996,Aguascalientes,2.022337247,19,939507
1996,Baja California,7.463069048,166,2224286
1996,Baja California Sur,2.176147011,9,413575
1996,Campeche,3.877062985,25,644818
1996,Coahuila de Zaragoza,6.392418502,143,2237025
1996,Colima,6.66733975,35,524947
1996,Chiapas,10.00068329,382,3819739
1996,Chihuahua,6.719253604,185,2753282
1996,Distrito Federal,1.926674596,171,8875396
1996,Durango,5.195412451,76,1462829
1996,Guanajuato,2.705284503,135,4990233
1996,Guerrero,5.614865641,178,3170156
1996,Hidalgo,4.642106485,108,2326530
1996,Jalisco,3.20537099,201,6270725
1996,México,2.475376529,294,11876981
1996,Michoacán de Ocampo,2.825572347,117,4140754
1996,Morelos,4.107258112,63,1533870
1996,Nayarit,5.599675878,51,910767
1996,Nuevo León,5.240619496,192,3663689
1996,Oaxaca,7.008800811,250,3566944
1996,Puebla,5.11067838,254,4969986
1996,Querétaro,4.11244111,59,1434671
1996,Quintana Roo,3.044842924,24,788218
1996,San Luis Potosí,5.778092981,135,2336411
1996,Sinaloa,4.586274643,111,2420265
1996,Sonora,5.90395168,125,2117226
1996,Tabasco,6.108973271,113,1849738
1996,Tamaulipas,6.249189558,160,2560332
1996,Tlaxcala,2.997094959,28,934238
1996,Veracruz de Ignacio de la Llave,8.098217671,573,7075631
1996,Yucatán,4.582091576,74,1614983
1996,Zacatecas,2.309449427,33,1428912
1997,Nacional,4.305351627,4185,97204604
1997,Aguascalientes,2.297786918,22,957443
1997,Baja California,8.541360999,197,2306424
1997,Baja California Sur,3.515737613,15,426653
1997,Campeche,2.729683948,18,659417
1997,Coahuila de Zaragoza,5.711102559,130,2276268
1997,Colima,6.015433346,32,531965
1997,Chiapas,9.264704904,362,3907302
1997,Chihuahua,5.265470432,148,2810765
1997,Distrito Federal,1.75375168,156,8895216
1997,Durango,4.209208526,62,1472961
1997,Guanajuato,2.185022978,110,5034272
1997,Guerrero,5.143592479,164,3188433
1997,Hidalgo,4.181893596,98,2343436
1997,Jalisco,2.918766469,185,6338294
1997,México,2.139062775,260,12154856
1997,Michoacán de Ocampo,2.046932058,85,4152556
1997,Morelos,3.739612099,58,1550963
1997,Nayarit,8.276261613,76,918289
1997,Nuevo León,5.140387462,192,3735127
1997,Oaxaca,7.035374027,253,3596113
1997,Puebla,4.561595019,230,5042096
1997,Querétaro,3.207680963,47,1465233
1997,Quintana Roo,2.181596056,18,825084
1997,San Luis Potosí,6.07736098,143,2352995
1997,Sinaloa,4.568981835,112,2451312
1997,Sonora,5.137794729,111,2160460
1997,Tabasco,4.355784748,82,1882554
1997,Tamaulipas,5.696746508,149,2615528
1997,Tlaxcala,2.93585985,28,953724
1997,Veracruz de Ignacio de la Llave,7.687144443,548,7128785
1997,Yucatán,3.714886708,61,1642042
1997,Zacatecas,2.310862876,33,1428038
1998,Nacional,4.095022224,4033,98485424
1998,Aguascalientes,2.666830779,26,974940
1998,Baja California,8.208908341,196,2387650
1998,Baja California Sur,4.546374153,20,439911
1998,Campeche,2.375043048,16,673672
1998,Coahuila de Zaragoza,5.139474098,119,2315412
1998,Colima,4.827688651,26,538560
1998,Chiapas,8.737396181,349,3994325
1998,Chihuahua,5.543264306,159,2868346
1998,Distrito Federal,1.750269525,156,8912913
1998,Durango,3.440694238,51,1482259
1998,Guanajuato,1.773451782,90,5074849
1998,Guerrero,4.712413277,151,3204303
1998,Hidalgo,3.899035328,92,2359558
1998,Jalisco,2.624421397,168,6401411
1998,México,2.108808566,262,12424077
1998,Michoacán de Ocampo,2.716267147,113,4160121
1998,Morelos,3.894513588,61,1566306
1998,Nayarit,6.376730769,59,925239
1998,Nuevo León,5.017457337,191,3806709
1998,Oaxaca,7.203026265,261,3623477
1998,Puebla,3.520301776,180,5113198
1998,Querétaro,3.81166624,57,1495409
1998,Quintana Roo,1.739295794,15,862418
1998,San Luis Potosí,5.744024314,136,2367678
1998,Sinaloa,4.916878556,122,2481249
1998,Sonora,4.492736063,99,2203557
1998,Tabasco,6.110965736,117,1914591
1998,Tamaulipas,5.240022996,140,2671744
1998,Tlaxcala,2.363619174,23,973084
1998,Veracruz de Ignacio de la Llave,6.66310279,478,7173835
1998,Yucatán,4.135004914,69,1668680
1998,Zacatecas,2.173999942,31,1425943
1999,Nacional,3.67680735,3666,99706067
