Periodo,Entidad federativa,Número de casos confirmados de paludismo con prueba de gota gruesa positiva que fueron registrados,Población Total,Tasa de incidencia asociada al paludismo por 100 mil habitantes
1998,Hidalgo,4,2359558,0.169523275
1998,Jalisco,37,6401411,0.57799757
1998,México,0,12424077,0
1998,Michoacán de Ocampo,215,4160121,5.168118908
1998,Morelos,1,1566306,0.063844485
1998,Nayarit,170,925239,18.37363103
1998,Nuevo León,1,3806709,0.02626941
1998,Oaxaca,17520,3623477,483.5134872
1998,Puebla,1,5113198,0.019557232
1998,Querétaro,0,1495409,0
1998,Quintana Roo,59,862418,6.841230123
1998,San Luis Potosí,1,2367678,0.042235473
1998,Sinaloa,764,2481249,30.7909444
1998,Sonora,2,2203557,0.090762345
1998,Tabasco,392,1914591,20.47434674
1998,Tamaulipas,0,2671744,0
1998,Tlaxcala,0,973084,0
1998,Veracruz de Ignacio de la Llave,49,7173835,0.683037734
1998,Yucatán,7,1668680,0.419493252
1998,Zacatecas,0,1425943,0
1999,Nacional,13450,99706067,13.48965053
1999,Aguascalientes,0,991858,0
1999,Baja California,0,2469220,0
1999,Baja California Sur,0,453340,0
1999,Campeche,63,687422,9.164676138
1999,Coahuila de Zaragoza,0,2354430,0
1999,Colima,2,544150,0.367545713
1999,Chiapas,4339,4083410,106.2592294
1999,Chihuahua,565,2926998,19.30305385
1999,Distrito Federal,0,8928176,0
1999,Durango,177,1488305,11.8927236
1999,Guanajuato,0,5114053,0
1999,Guerrero,221,3215867,6.872174751
1999,Hidalgo,3,2374982,0.126316747
1999,Jalisco,12,6452167,0.185984027
1999,México,0,12678984,0
1999,Michoacán de Ocampo,200,4158671,4.809228718
1999,Morelos,2,1577729,0.126764482
1999,Nayarit,217,930087,23.33115074
1999,Nuevo León,1,3876894,0.025793844
1999,Oaxaca,5463,3654932,149.4692651
1999,Puebla,0,5188507,0
1999,Querétaro,0,1527014,0
1999,Quintana Roo,630,900778,69.93954115
1999,San Luis Potosí,0,2378237,0
