Periodo,Entidad federativa,Tasa de mortalidad por VIH/SIDA (por 100 mil habitantes),Defunciones por VIH/SIDA,Población total
2001,Coahuila de Zaragoza,2.383651112,58,2433242
2001,Colima,4.838987182,27,557968
2001,Chiapas,3.868079616,164,4239830
2001,Chihuahua,4.559338312,139,3048688
2001,Distrito Federal,6.796018671,609,8961129
2001,Durango,1.852084587,28,1511810
2001,Guanajuato,2.146778536,111,5170538
2001,Guerrero,5.1534748,167,3240532
2001,Hidalgo,2.117537445,51,2408458
2001,Jalisco,5.172622236,341,6592401
2001,México,3.289038672,434,13195345
2001,Michoacán de Ocampo,2.250487386,94,4176873
2001,Morelos,5.213926148,84,1611070
2001,Nayarit,5.174633314,49,946927
2001,Nuevo León,3.998108721,161,4026904
2001,Oaxaca,3.833777209,141,3677835
2001,Puebla,3.65938035,194,5301444
2001,Querétaro,1.773188878,28,1579076
2001,Quintana Roo,6.65664415,65,976468
2001,San Luis Potosí,2.077098576,50,2407204
2001,Sinaloa,3.15030698,81,2571178
2001,Sonora,2.531643397,59,2330502
2001,Tabasco,5.238261057,105,2004482
2001,Tamaulipas,3.681626928,105,2852000
2001,Tlaxcala,2.530425939,26,1027495
2001,Veracruz de Ignacio de la Llave,7.633190213,554,7257778
2001,Yucatán,5.268954347,92,1746077
2001,Zacatecas,1.054917604,15,1421912
2002,Nacional,4.315498672,4463,103417944
2002,Aguascalientes,1.724496375,18,1043783
2002,Baja California,9.397550421,254,2702832
2002,Baja California Sur,4.439762513,22,495522
2002,Campeche,6.460072628,47,727546
2002,Coahuila de Zaragoza,3.15416465,78,2472921
2002,Colima,5.649827239,32,566389
2002,Chiapas,3.542529338,153,4318948
2002,Chihuahua,5.212536343,162,3107892
2002,Distrito Federal,6.117984154,549,8973544
2002,Durango,2.424962167,37,1525797
2002,Guanajuato,2.342267034,122,5208629
2002,Guerrero,5.340462134,174,3258145
2002,Hidalgo,1.850752063,45,2431444
2002,Jalisco,5.201107491,347,6671656
2002,México,3.046120116,410,13459745
2002,Michoacán de Ocampo,2.455906347,103,4193971
2002,Morelos,5.891019815,96,1629599
2002,Nayarit,5.321846493,51,958314
2002,Nuevo León,3.67980169,151,4103482
2002,Oaxaca,3.73337734,138,3696385
2002,Puebla,4.212889615,226,5364489
2002,Querétaro,1.679533761,27,1607589
2002,Quintana Roo,6.205068655,63,1015299
2002,San Luis Potosí,1.978705827,48,2425828
2002,Sinaloa,3.304507271,86,2602506
2002,Sonora,2.907318479,69,2373321
2002,Tabasco,6.588991958,134,2033695
2002,Tamaulipas,3.641251533,106,2911087
2002,Tlaxcala,2.773911837,29,1045455
2002,Veracruz de Ignacio de la Llave,7.951734616,580,7294006
2002,Yucatán,4.628236873,82,1771733
2002,Zacatecas,1.682566924,24,1426392
2003,Nacional,4.399355229,4607,104719891
2003,Aguascalientes,3.483172511,37,1062250
2003,Baja California,8.429619522,234,2775926
2003,Baja California Sur,4.689047752,24,511831
2003,Campeche,5.667151973,42,741113
2003,Coahuila de Zaragoza,2.945553826,74,2512261
2003,Colima,5.039875845,29,575411
2003,Chiapas,4.298124267,189,4397267
2003,Chihuahua,5.781161249,183,3165454
2003,Distrito Federal,6.156611276,553,8982214
2003,Durango,2.012653749,31,1540255
2003,Guanajuato,2.420070502,127,5247781
2003,Guerrero,5.737661891,188,3276596
2003,Hidalgo,1.628412542,40,2456380
2003,Jalisco,5.538375239,374,6752883
2003,México,2.790830802,383,13723512
2003,Michoacán de Ocampo,2.30290187,97,4212077
2003,Morelos,4.913772394,81,1648428
2003,Nayarit,6.385261991,62,970986
2003,Nuevo León,3.70789624,155,4180268
2003,Oaxaca,3.417704895,127,3715944
2003,Puebla,3.721336041,202,5428158
2003,Querétaro,2.138632253,35,1636560
2003,Quintana Roo,7.111417903,75,1054642
2003,San Luis Potosí,2.249480472,55,2445009
2003,Sinaloa,3.114149137,82,2633143
2003,Sonora,3.351917856,81,2416527
2003,Tabasco,7.417462549,153,2062700
2003,Tamaulipas,4.91817471,146,2968581
2003,Tlaxcala,2.256502252,24,1063593
2003,Veracruz de Ignacio de la Llave,8.591007887,630,7333249
2003,Yucatán,4.172872656,75,1797323
