Periodo,Entidad de Residencia,Defunciones por Diabetes Tipo II,Poblacion Total,Tasa de Mortalidad por Diabetes Tipo II
2006,Tlaxcala,438,1113144,39.34800888
2006,Veracruz Llave,2734,7451476,36.69071738
2006,Yucatán,575,1872573,30.70641305
2006,Zacatecas,432,1448005,29.83415113
2006,Nacional,37869,108408827,34.93165736
2007,Aguascalientes,429,1133032,37.86300828
2007,Baja California,660,3041783,21.69780027
2007,Baja California Sur,154,584639,26.34104122
2007,Campeche,290,795450,36.45735118
2007,Coahuila de Zaragoza,1043,2664019,39.15137242
2007,Colima,215,617146,34.83778555
2007,Chiapas,1003,4688014,21.3949873
2007,Chihuahua,1196,3376544,35.42083266
2007,Distrito Federal,5416,8973450,60.35582747
2007,Durango,567,1605415,35.31797074
2007,Guanajuato,2058,5377044,38.27381736
2007,Guerrero,1047,3349840,31.25522413
2007,Hidalgo,863,2565231,33.64219441
2007,Jalisco,2209,7101648,31.10545609
2007,México,6089,14765300,41.23857964
2007,Michoacán de Ocampo,1706,4290259,39.76449907
2007,Morelos,665,1727522,38.49444464
2007,Nayarit,310,1035898,29.92572628
2007,Nuevo León,1460,4487206,32.53695061
2007,Oaxaca,1116,3773572,29.57410114
2007,Puebla,2298,5651042,40.66506673
2007,Querétaro de Arteaga,531,1746996,30.39503239
2007,Quintana Roo,263,1218194,21.58933635
2007,San Luis Potosí,820,2525095,32.47402573
2007,Sinaloa,593,2753754,21.53424017
2007,Sonora,621,2586060,24.01336396
2007,Tabasco,752,2174464,34.58323522
2007,Tamaulipas,1137,3184546,35.70367644
2007,Tlaxcala,509,1130405,45.02810939
2007,Veracruz Llave,2887,7505280,38.46625309
2007,Yucatán,655,1898633,34.49850498
2007,Zacatecas,444,1459907,30.41289616
2007,Nacional,40006,109787388,36.43952254
2008,Aguascalientes,437,1154011,37.86792327
2008,Baja California,711,3105709,22.89332323
2008,Baja California Sur,172,605343,28.41364317
2008,Campeche,321,809636,39.64744651
2008,Coahuila de Zaragoza,1244,2703905,46.00753355
2008,Colima,244,630606,38.69293981
2008,Chiapas,1154,4762080,24.23310822
2008,Chihuahua,1249,3431517,36.39789632
2008,Distrito Federal,5744,8969421,64.03980814
2008,Durango,610,1628321,37.46190094
2008,Guanajuato,2346,5437620,43.14387545
2008,Guerrero,1179,3380933,34.87203089
2008,Hidalgo,993,2605175,38.11644131
2008,Jalisco,2479,7213583,34.36572366
2008,México,6535,15040385,43.44968563
2008,Michoacán de Ocampo,1857,4333681,42.85040823
2008,Morelos,858,1753157,48.94028316
2008,Nayarit,370,1058677,34.94928104
2008,Nuevo León,1537,4566871,33.65542841
2008,Oaxaca,1252,3804078,32.9120486
2008,Puebla,2473,5722490,43.21545341
2008,Querétaro de Arteaga,608,1780583,34.14611956
2008,Quintana Roo,283,1261970,22.42525575
2008,San Luis Potosí,970,2555735,37.95385672
2008,Sinaloa,765,2787098,27.44790459
2008,Sonora,656,2632192,24.92219413
2008,Tabasco,876,2202203,39.77834923
2008,Tamaulipas,1159,3239174,35.78072681
2008,Tlaxcala,539,1149453,46.89186944
2008,Veracruz Llave,3115,7571413,41.14159405
2008,Yucatán,677,1925861,35.15310814
2008,Zacatecas,516,1476134,34.95617607
2008,Nacional,43929,111299015,39.469352
2009,Aguascalientes,492,1175942,41.83879817
2009,Baja California,747,3168319,23.57717136
2009,Baja California Sur,148,626900,23.60823098
2009,Campeche,269,824071,32.6428184
2009,Coahuila de Zaragoza,1325,2743966,48.28777033
2009,Colima,245,645050,37.98155182
2009,Chiapas,1216,4836326,25.1430528
2009,Chihuahua,1276,3485093,36.61308321
2009,Distrito Federal,5904,8961594,65.88113677
2009,Durango,545,1650042,33.02946228
2009,Guanajuato,2339,5503354,42.50135463
2009,Guerrero,1260,3415204,36.89384294
2009,Hidalgo,962,2649264,36.31197193
2009,Jalisco,2722,7331993,37.12496725
2009,México,7008,15315644,45.75713565
2009,Michoacán de Ocampo,2027,4381615,46.26148121
2009,Morelos,797,1779708,44.78262726
2009,Nayarit,354,1083772,32.66369679
2009,Nuevo León,1529,4646180,32.90875515
2009,Oaxaca,1367,3838339,35.6143634
2009,Puebla,2640,5796436,45.54522814
2009,Querétaro de Arteaga,629,1815459,34.64688544
2009,Quintana Roo,316,1305885,24.19814915
2009,San Luis Potosí,887,2589037,34.25984256
