Periodo,Entidad federativa,Tasa de mortalidad en niños menores de 5 años,Defunciones en la población menor de 5 años de edad,Nacidos vivos
1997,Tamaulipas,23.00392508,1389,60381
1997,Tlaxcala,34.46826398,902,26169
1997,Veracruz de Ignacio de la Llave,31.56700865,5483,173694
1997,Yucatán,22.55032881,895,39689
1997,Zacatecas,26.57973922,954,35892
1998,Nacional,27.3106465,65456,2396721
1998,Aguascalientes,21.71038131,591,27222
1998,Baja California,27.65307277,1466,53014
1998,Baja California Sur,20.511758,198,9653
1998,Campeche,22.79987473,364,15965
1998,Coahuila de Zaragoza,19.46544229,1115,57281
1998,Colima,21.33874239,263,12325
1998,Chiapas,38.51155025,4798,124586
1998,Chihuahua,27.86272511,1804,64746
1998,Distrito Federal,19.59362731,3189,162757
1998,Durango,23.65668397,925,39101
1998,Guanajuato,27.27515549,3574,131035
1998,Guerrero,34.79142217,3261,93730
1998,Hidalgo,30.56515742,1795,58727
1998,Jalisco,22.70168127,3508,154526
1998,México,28.84330056,8748,303294
1998,Michoacán de Ocampo,27.28091119,2788,102196
1998,Morelos,22.77284446,795,34910
1998,Nayarit,23.02914477,482,20930
1998,Nuevo León,17.00762038,1415,83198
1998,Oaxaca,37.87703869,3609,95282
1998,Puebla,35.52429704,4955,139482
1998,Querétaro,25.91677072,1017,39241
1998,Quintana Roo,23.37340694,453,19381
1998,San Luis Potosí,27.64125738,1676,60634
1998,Sinaloa,19.27763127,1155,59914
1998,Sonora,22.56568779,1168,51760
1998,Tabasco,25.12603025,1256,49988
1998,Tamaulipas,22.08233084,1340,60682
1998,Tlaxcala,32.86582337,860,26167
1998,Veracruz de Ignacio de la Llave,30.20403854,5150,170507
1998,Yucatán,21.67545401,851,39261
1998,Zacatecas,25.18026458,887,35226
1999,Nacional,26.11943277,62166,2380067
1999,Aguascalientes,20.73148318,564,27205
1999,Baja California,26.67018748,1414,53018
1999,Baja California Sur,19.83148376,193,9732
1999,Campeche,21.97454246,347,15791
1999,Coahuila de Zaragoza,18.53118042,1057,57039
1999,Colima,20.30995106,249,12260
1999,Chiapas,36.61822306,4553,124337
1999,Chihuahua,26.82729452,1757,65493
1999,Distrito Federal,18.95456644,3038,160278
1999,Durango,22.66068604,874,38569
1999,Guanajuato,25.9109437,3350,129289
1999,Guerrero,33.34963325,3069,92025
1999,Hidalgo,29.17222736,1705,58446
1999,Jalisco,21.6756792,3327,153490
1999,México,27.71163018,8402,303194
1999,Michoacán de Ocampo,26.11598246,2621,100360
1999,Morelos,21.92868109,757,34521
1999,Nayarit,22.0343078,456,20695
1999,Nuevo León,16.23089252,1357,83606
1999,Oaxaca,36.02739872,3382,93873
1999,Puebla,33.9112349,4712,138951
1999,Querétaro,24.67303115,964,39071
1999,Quintana Roo,22.43589744,441,19656
1999,San Luis Potosí,26.45979313,1586,59940
1999,Sinaloa,18.40088728,1095,59508
1999,Sonora,21.53234676,1116,51829
1999,Tabasco,23.98860742,1196,49857
1999,Tamaulipas,21.21083273,1297,61148
1999,Tlaxcala,31.18796763,817,26196
1999,Veracruz de Ignacio de la Llave,28.9048474,4830,167100
1999,Yucatán,20.87827427,813,38940
1999,Zacatecas,23.86724387,827,34650
2000,Nacional,25.00428431,59092,2363275
2000,Aguascalientes,19.77504962,538,27206
2000,Baja California,25.67967293,1363,53077
2000,Baja California Sur,19.18171615,188,9801
2000,Campeche,21.02312544,330,15697
2000,Coahuila de Zaragoza,17.68882468,1004,56759
2000,Colima,19.35958177,237,12242
2000,Chiapas,34.86109653,4318,123863
2000,Chihuahua,25.87168128,1717,66366
2000,Distrito Federal,18.33585362,2898,158051
2000,Durango,21.63714948,821,37944
2000,Guanajuato,24.65327651,3141,127407
2000,Guerrero,31.95334501,2882,90194
2000,Hidalgo,27.93488164,1625,58171
2000,Jalisco,20.71882993,3159,152470
2000,México,26.65603501,8090,303496
2000,Michoacán de Ocampo,24.97134685,2462,98593
2000,Morelos,21.07330227,719,34119
2000,Nayarit,21.16427978,433,20459
2000,Nuevo León,15.53083538,1304,83962
2000,Oaxaca,34.30735931,3170,92400
2000,Puebla,32.43372412,4479,138097
2000,Querétaro,23.54788069,915,38857
2000,Quintana Roo,21.64111812,432,19962
2000,San Luis Potosí,25.3320507,1501,59253
2000,Sinaloa,17.65881078,1043,59064
2000,Sonora,20.61140755,1070,51913
2000,Tabasco,22.91167529,1138,49669
2000,Tamaulipas,20.40386702,1260,61753
2000,Tlaxcala,29.71734148,778,26180
2000,Veracruz de Ignacio de la Llave,27.67738661,4526,163527
2000,Yucatán,20.10439816,778,38698
2000,Zacatecas,22.71858927,773,34025
2001,Nacional,23.96019427,56249,2347602
2001,Aguascalientes,18.87901271,514,27226
2001,Baja California,24.74335351,1316,53186
2001,Baja California Sur,18.73607454,185,9874
2001,Campeche,20.18653379,316,15654
2001,Coahuila de Zaragoza,16.94975293,957,56461
2001,Colima,18.65428478,229,12276
2001,Chiapas,33.2217546,4089,123082
2001,Chihuahua,25.05184942,1679,67021
2001,Distrito Federal,17.75432169,2772,156131
2001,Durango,20.673977,773,37390
2001,Guanajuato,23.45291908,2947,125656
2001,Guerrero,30.62745629,2712,88548
2001,Hidalgo,26.80793695,1551,57856
2001,Jalisco,19.85105121,3012,151730
2001,México,25.68068798,7803,303847
2001,Michoacán de Ocampo,23.93841467,2326,97166
2001,Morelos,20.2850553,686,33818
2001,Nayarit,20.28557361,412,20310
2001,Nuevo León,14.87879831,1254,84281
2001,Oaxaca,32.65467571,2972,91013
2001,Puebla,30.9907254,4247,137041
2001,Querétaro,22.43058433,866,38608
2001,Quintana Roo,20.82307768,423,20314
2001,San Luis Potosí,24.30650451,1423,58544
2001,Sinaloa,16.89137364,991,58669
2001,Sonora,19.77776494,1027,51927
2001,Tabasco,22.00291215,1088,49448
2001,Tamaulipas,19.62864721,1221,62205
2001,Tlaxcala,28.33729034,740,26114
2001,Veracruz de Ignacio de la Llave,26.51181668,4246,160155
2001,Yucatán,19.41268191,747,38480
2001,Zacatecas,21.59602037,725,33571
2002,Nacional,22.97946836,53660,2335128
2002,Aguascalientes,18.02726074,492,27292
2002,Baja California,23.88517176,1278,53506
2002,Baja California Sur,18.23464583,182,9981
2002,Campeche,19.43361248,304,15643
2002,Coahuila de Zaragoza,16.27087265,914,56174
2002,Colima,17.85425755,221,12378
2002,Chiapas,31.67287463,3869,122155
2002,Chihuahua,24.290123,1645,67723
2002,Distrito Federal,17.20484457,2655,154317
2002,Durango,19.8336359,732,36907
2002,Guanajuato,22.33500088,2777,124334
2002,Guerrero,29.36005424,2555,87023
2002,Hidalgo,25.71889697,1482,57623
2002,Jalisco,19.01299045,2876,151265
2002,México,24.76191102,7535,304298
2002,Michoacán de Ocampo,22.93955329,2203,96035
2002,Morelos,19.45432977,656,33720
2002,Nayarit,19.45102686,394,20256
2002,Nuevo León,14.33924793,1213,84593
