Periodo,Entidad de Residencia,Defunciones por Neoplasias Malignas,Poblacion Total,Tasa de Mortalidad por Neoplasias Malignas
1998,Baja California Sur,242,439911,55.01112725
1998,Campeche,348,673672,51.65718629
1998,Coahuila de Zaragoza,1389,2315412,59.98932371
1998,Colima,321,538560,59.60338681
1998,Chiapas,1603,3994325,40.13193719
1998,Chihuahua,1864,2868346,64.98518658
1998,Distrito Federal,6240,8912913,70.01078099
1998,Durango,777,1482259,52.41998868
1998,Guanajuato,2202,5074849,43.39045359
1998,Guerrero,1136,3204303,35.4523277
1998,Hidalgo,1029,2359558,43.60986253
1998,Jalisco,4005,6401411,62.56433152
1998,México,5082,12424077,40.90444707
1998,Michoacán de Ocampo,2297,4160121,55.21474015
1998,Morelos,863,1566306,55.0977906
1998,Nayarit,578,925239,62.4703455
1998,Nuevo León,2400,3806709,63.04658433
1998,Oaxaca,1686,3623477,46.5298938
1998,Puebla,2286,5113198,44.70783255
1998,Querétaro de Arteaga,580,1495409,38.78537577
1998,Quintana Roo,240,862418,27.8287327
1998,San Luis Potosí,1242,2367678,52.45645734
1998,Sinaloa,1648,2481249,66.41816279
1998,Sonora,1523,2203557,69.11552549
1998,Tabasco,897,1914591,46.85073731
1998,Tamaulipas,1643,2671744,61.49541273
1998,Tlaxcala,382,973084,39.25663149
1998,Veracruz Llave,4109,7173835,57.27759281
1998,Yucatán,1008,1668680,60.40702831
1998,Zacatecas,846,1425943,59.32915972
1998,Nacional,52319,98485424,53.12359725
1999,Aguascalientes,484,991858,48.79730768
1999,Baja California,1324,2469220,53.62017155
1999,Baja California Sur,254,453340,56.02858781
1999,Campeche,319,687422,46.40526489
1999,Coahuila de Zaragoza,1396,2354430,59.29248268
1999,Colima,300,544150,55.13185702
1999,Chiapas,1681,4083410,41.16657402
1999,Chihuahua,1952,2926998,66.68948868
1999,Distrito Federal,6232,8928176,69.80149137
1999,Durango,810,1488305,54.42432835
1999,Guanajuato,2332,5114053,45.59984028
1999,Guerrero,1197,3215867,37.22168858
1999,Hidalgo,1130,2374982,47.57930797
1999,Jalisco,4150,6452167,64.31947592
1999,México,5251,12678984,41.41499035
1999,Michoacán de Ocampo,2282,4158671,54.87329967
1999,Morelos,843,1577729,53.43122932
1999,Nayarit,560,930087,60.20942127
1999,Nuevo León,2525,3876894,65.12945672
1999,Oaxaca,1746,3654932,47.7710666
1999,Puebla,2358,5188507,45.44659957
1999,Querétaro de Arteaga,598,1527014,39.16139603
1999,Quintana Roo,286,900778,31.75033138
1999,San Luis Potosí,1332,2378237,56.00787474
1999,Sinaloa,1635,2508118,65.18832049
1999,Sonora,1551,2247827,68.99997197
1999,Tabasco,878,1946169,45.11427322
1999,Tamaulipas,1682,2729528,61.62237574
1999,Tlaxcala,424,993724,42.66778301
1999,Veracruz Llave,4079,7209103,56.5812418
1999,Yucatán,989,1695601,58.32740132
1999,Zacatecas,737,1419786,51.90923139
1999,Nacional,53317,99706067,53.47417826
2000,Aguascalientes,469,1008447,46.50715407
2000,Baja California,1371,2549842,53.76803739
2000,Baja California Sur,273,466455,58.52654597
