Periodo,Entidad federativa,Casos confirmados de tuberculosis,Población total,Tasa de incidencia asociada a la tuberculosis (todas las formas) por 100 mil habitantes
2011,Tamaulipas,1153,3376515,34.14763447
2011,Tlaxcala,51,1206291,4.227835572
2011,Veracruz de Ignacio de la Llave,1990,7791801,25.53966663
2011,Yucatán,237,2009160,11.79597444
2011,Zacatecas,109,1522741,7.158144425
2010,Estados Unidos Mexicanos,18848,114255557,16.496353
2010,Aguascalientes,124,1195787,10.36973976
2010,Baja California,1707,3224844,52.93279303
2010,Baja California Sur,144,649616,22.1669417
2010,Campeche,108,836748,12.90711182
2010,Coahuila de Zaragoza,506,2782013,18.18826871
2010,Colima,126,658910,19.12249017
2010,Chiapas,1208,4903755,24.6341834
2010,Chihuahua,719,3525273,20.39558355
2010,Distrito Federal,777,8944599,8.686806418
2010,Durango,189,1669815,11.31861913
2010,Guanajuato,405,5558502,7.286135725
2010,Guerrero,1085,3444264,31.50165028
2010,Hidalgo,281,2690086,10.4457627
2010,Jalisco,955,7442625,12.83149426
2010,México,772,15571679,4.957718432
2010,Michoacán de Ocampo,336,4420271,7.6013439
2010,Morelos,206,1803340,11.42324797
2010,Nayarit,341,1108860,30.75230417
2010,Nuevo León,1126,4723273,23.83940119
2010,Oaxaca,745,3868109,19.26005705
2010,Puebla,457,5863823,7.793550385
2010,Querétaro,187,1848191,10.11800187
2010,Quintana Roo,241,1350945,17.8393643
2010,San Luis Potosí,408,2616459,15.59359424
2010,Sinaloa,812,2851334,28.47789842
2010,Sonora,832,2727032,30.50935963
2010,Tabasco,518,2252641,22.99523093
2010,Tamaulipas,1175,3334664,35.23593382
2010,Tlaxcala,46,1186143,3.878115876
2010,Veracruz de Ignacio de la Llave,2039,7712247,26.43846858
2010,Yucatán,176,1980690,8.885792325
2010,Zacatecas,97,1509019,6.428017142
2009,Estados Unidos Mexicanos,18011,112852594,15.9597572
2009,Aguascalientes,82,1175942,6.973133029
2009,Baja California,1544,3168319,48.73246665
2009,Baja California Sur,158,626900,25.20338172
2009,Campeche,100,824071,12.13487673
2009,Coahuila de Zaragoza,476,2743966,17.34715372
2009,Colima,117,645050,18.13812883
2009,Chiapas,1070,4836326,22.12423232
